il_gan,character,most_oheang,content_ko,content_en
기,3,fire,"무디는 은근하고 포근한 성품을 가진 캐릭터입니다. {name} 님은 무디들 중에서도 리더십과 활동성의 비율이 가장 많네요. 추위 속에서 생명을 기르는 온정과, 남이 알아 주지 않아도 반드시 필요한 지혜를 통해, 밖을 바라 보면서도 안을 지키는 힘이 대단합니다. 자기를 희생하는 리더십과, 보이지 않는 정신적 활동으로 널리 만물을 보호하는 무디입니다.","Moodey is a character with subtle and cozy qualities. {name} has the highest proportion of leadership and activity among the Moodeys. Through warmth that nurtures life even in the cold and necessary wisdom that may not be recognized by others, {name} has great strength that looks outward while protecting the inside. With self-sacrificing leadership and invisible mental activity, {name} is/are a Moodey who protects all things"
기,3,wood,"무디는 은근하고 포근한 성품을 가진 캐릭터입니다. {name} 님은 무디들 중에서도 인자함과 추진력의 비율이 가장 많네요. 추위 속에서 생명을 기르는 온정과, 남이 알아 주지 않아도 반드시 필요한 지혜를 통해, 밖을 바라 보면서도 안을 지키는 힘이 대단합니다. 은밀한 추진력과 인자한 마음으로 널리 만물을 보호하는 무디입니다.","Moodey is a character with subtle and cozy qualities. {name} has the highest proportion of kindness and drive among the Moodeys. Through warmth that nurtures life even in the cold and necessary wisdom that may not be recognized by others, {name} has great strength that looks outward while protecting the inside. With discreet drive and a kind heart, {name} is/are a Moodey who protects all things"
무,3,water,"무디는 중후하고 중립적 가치를 선호하는 캐릭터입니다. {name} 님은 무디들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 안에서 밖으로 퍼져 나가는 묵직한 힘을 간직하고, 느리지만 머물며 관조하는 힘이 대단합니다. 급할 수록 돌아가는 낙천적 완벽주의와, 가장 높은 곳에서 낮은 곳을 생각하는 예리한 통찰력으로 널리 세상을 평화롭게 만드는 무디입니다.","Moodey is a character with a heavy and neutral value preference. {name} has the highest proportion of perfectionism and sharpness among the Moodeys. With the powerful energy that flows from inside to outside, {name} holds a contemplative and slow-moving strength. With optimistic perfectionism that turns the rush into calm and keen insight that thinks of low places from high, {name} is/are a Moodey who makes the world peaceful"
무,3,gold,"무디는 중후하고 중립적 가치를 선호하는 캐릭터입니다. {name} 님은 무디들 중에서도 차분함과 성실성의 비율이 가장 많네요. 안에서 밖으로 퍼져 나가는 묵직한 힘을 간직하고, 느리지만 머물며 관조하는 힘이 대단합니다. 차분한 마음으로 완벽한 안정을 추구하며, 성실한 노력을 통해 널리 세상을 평화롭게 만드는 무디입니다.","Moodey is a character with a heavy and neutral value preference. {name} has the highest proportion of calmness and diligence among the Moodeys. With the powerful energy that flows from inside to outside, {name} holds a contemplative and slow-moving strength. With calmness that seeks perfect stability and sincerity in effort, {name} is/are a Moodey who makes the world peaceful"
무,3,ground,"무디는 중후하고 중립적 가치를 선호하는 캐릭터입니다. {name} 님은 무디들 중에서도 리더십과 활동성의 비율이 가장 많네요. 안에서 밖으로 퍼져 나가는 묵직한 힘을 간직하고, 느리지만 머물며 관조하는 힘이 대단합니다. 합리적 리더십과 절제력 있는 활동성으로 널리 세상을 평화롭게 만드는 무디입니다.","Moodey is a character with a heavy and neutral value preference. {name} has the highest proportion of leadership and activity among the Moodeys. With the powerful energy that flows from inside to outside, {name} holds a contemplative and slow-moving strength. With rational leadership and restrained activity, {name} is/are a Moodey who makes the world peaceful."
무,3,fire,"무디는 중후하고 중립적 가치를 선호하는 캐릭터입니다. {name} 님은 무디들 중에서도 리더십과 활동성의 비율이 가장 많네요. 안에서 밖으로 퍼져 나가는 묵직한 힘을 간직하고, 느리지만 머물며 관조하는 힘이 대단합니다. 합리적 리더십과 절제력 있는 활동성으로 널리 세상을 평화롭게 만드는 무디입니다.","Moodey is a character with a heavy and neutral value preference. {name} has the highest proportion of leadership and activity among the Moodeys. With the powerful energy that flows from inside to outside, {name} holds a contemplative and slow-moving strength. With rational leadership and restrained activity, {name} is/are a Moodey who makes the world peaceful."
무,3,wood,"무디는 중후하고 중립적 가치를 선호하는 캐릭터입니다. {name} 님은 무디들 중에서도 인자함과 추진력의 비율이 가장 많네요. 안에서 밖으로 퍼져 나가는 묵직한 힘을 간직하고, 느리지만 머물며 관조하는 힘이 대단합니다. 중후한 추진력과 인자한 마음으로 널리 세상을 평화롭게 만드는 무디입니다.","Moodey is a character with a heavy and neutral value preference. {name} has the highest proportion of kindness and drive among the Moodeys. With the powerful energy that flows from inside to outside, {name} holds a contemplative and slow-moving strength. With deep drive and a kind heart, {name} is/are a Moodey who makes the world peaceful."
신,2,water,"저스팃은 섬세하고 예민하며, 치밀한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 사회성과 처세술의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 간직하고, 밖에서 안으로 들어가, 안을 바깥보다 넓게 만드는 힘이 대단합니다. 대세를 거스를 힘이 없다면 약자들과 연대하는 처세술과, 대세를 만들기 위해 약자들을 교육하는 사회성을 통해 널리 세상을 분명하게 만드는 저스팃입니다.","JUSTit is a character with delicate, sensitive, and meticulous traits. {name} stands out among the JUSTit characters with the highest proportion of social skills and tact. They carry the strength rising from below and push inward while expanding the inside to be wider than the outside. They possess incredible skills for making the world clearer through the art of aligning with the underprivileged and educating them to create a dominant trend."
신,2,gold,"저스팃은 섬세하고 예민하며, 치밀한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 간직하고, 밖에서 안으로 들어가, 안을 바깥보다 넓게 만드는 힘이 대단합니다. 경쟁을 피할 수 없다면 반드시 이겨야 한다는 완벽주의와, 투쟁을 피하면서도 이길 수 있는 예리한 판단력으로 널리 세상을 분명하게 만드는 저스팃입니다.","JUSTit is a character with delicate, sensitive, and meticulous traits. {name} stands out among the JUSTit characters with the highest proportion of perfectionism and sharpness. They carry the strength rising from below and push inward while expanding the inside to be wider than the outside. They use perfectionism to ensure victory in unavoidable competition and sharp judgment to win while avoiding unnecessary conflict, making the world clearer."
신,2,ground,"저스팃은 섬세하고 예민하며, 치밀한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 리더십과 활동성의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 간직하고, 밖에서 안으로 들어가, 안을 바깥보다 넓게 만드는 힘이 대단합니다. 신념에 기반한 섬세한 리더십과, 확신을 동반한 지치지 않는 활동성으로 널리 세상을 분명하게 만드는 저스팃입니다.","JUSTit is a character with delicate, sensitive, and meticulous traits. {name} stands out among the JUSTit characters with the highest proportion of leadership and activity. They carry the strength rising from below and push inward while expanding the inside to be wider than the outside. With belief-based, delicate leadership and unwavering activity, {name} clearly shapes the world."
신,2,fire,"저스팃은 섬세하고 예민하며, 치밀한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 리더십과 활동성의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 간직하고, 밖에서 안으로 들어가, 안을 바깥보다 넓게 만드는 힘이 대단합니다. 신념에 기반한 섬세한 리더십과, 확신을 동반한 지치지 않는 활동성으로 널리 세상을 분명하게 만드는 저스팃입니다.","JUSTit is a character with delicate, sensitive, and meticulous traits. {name} stands out among the JUSTit characters with the highest proportion of leadership and activity. They carry the strength rising from below and push inward while expanding the inside to be wider than the outside. With belief-based, delicate leadership and unwavering activity, {name} clearly shapes the world."
신,2,wood,"저스팃은 섬세하고 예민하며, 치밀한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 인자함과 추진력의 비율이 가장 많네요. 아래에서 위로 솟는 힘을 간직하고, 밖에서 안으로 들어가, 안을 바깥보다 넓게 만드는 힘이 대단합니다. 특유의 날카로움을 타인을 공격하기 위해 사용하지 않는 인자함과, 오차를 허용하지 않는 치밀한 추진력으로 널리 세상을 분명하게 만드는 저스팃입니다.","JUSTit is a character with delicate, sensitive, and meticulous traits. {name} stands out among the JUSTit characters with the highest proportion of kindness and drive. They carry the strength rising from below and push inward while expanding the inside to be wider than the outside. With unique kindness that doesn't use sharpness to attack others, and meticulous drive that doesn’t allow room for mistakes, {name} shapes the world clearly."
경,2,water,"저스팃은 원칙적이고 단호한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 사회성과 처세술의 비율이 가장 많네요. 위에서 아래로 떨어뜨리는 힘을 집행하며, 안에서 밖으로 헤치고 나가는 힘이 대단합니다. 스스로 만들어 낸 구조와, 합의된 질서를 매우 중요시하는군요. 앞에서 끌어 주는 사람을 존중하는 처세술과, 뒤에서 따라 오는 사람들을 배려하는 사회성을 통해 널리 세상을 질서 있게 만드는 저스팃입니다.","JUSTit is a principled and resolute character. {name} stands out among the JUSTit characters with the highest proportion of social skills and tact. They execute the power of falling from above and push outward from within, respecting the structures they’ve created and the agreements that are in place. With tact that respects those who lead and the social ability to consider those who follow, {name} brings order to the world"
경,2,gold,"저스팃은 원칙적이고 단호한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 완벽주의와 예리함의 비율이 가장 많네요. 위에서 아래로 떨어뜨리는 힘을 집행하며, 안에서 밖으로 헤치고 나가는 힘이 대단합니다. 스스로 만들어 낸 구조와, 합의된 질서를 매우 중요시하는군요. 경쟁에서 반드시 이기기 위해 완벽을 추구하지만, 투쟁만으로는 이길 수 없다는 예리한 통찰력으로 널리 세상을 질서 있게 만드는 저스팃입니다.","JUSTit is a principled and resolute character. {name} stands out among the JUSTit characters with the highest proportion of perfectionism and sharpness. They execute the power of falling from above and push outward from within, respecting the structures they’ve created and the agreements that are in place. With a perfectionist drive to win in competition and sharp insight into the realization that struggle alone won’t ensure victory, {name} brings order to the world"
경,2,ground,"저스팃은 원칙적이고 단호한 성품을 가진 캐릭터입니다. {name} 님은 저스팃들 중에서도 차분함과 성실함의 비율이 가장 많네요. 위에서 아래로 떨어뜨리는 힘을 집행하며, 안에서 밖으로 헤치고 나가는 힘이 대단합니다. 스스로 만들어 낸 구조와, 합의된 질서를 매우 중요시하는군요. 단호하지만 무리하지 않는 차분함과, 때를 기다리며 칼을 가는 성실함을 통해 널리 세상을 질서 있게 만드는 저스팃입니다.","JUSTit is a principled and resolute character. {name} stands out among the JUSTit characters with the highest proportion of calmness and diligence. They execute the power of falling from above and push outward from within, respecting the structures they’ve created and the agreements that are in place. With a calmness that doesn’t overreach and a diligence that waits for the right moment, {name} shapes the world with order and stability"
