il_ju,content_ko,content_en
계축,자상하고 따뜻한 마음씨를 타고난 당신은 겉으로 내세우지는 않지만 엄청난 추진력과 불굴의 용기를 지닌 사람이에요. 영웅심이 강하고 인정 욕구가 대단합니다. 명예와 자존심을 중시하는 사람이라서 그래요. 만인을 기르는 지도자의 길이 어울립니다. 지나친 조바심을 때를 기다리는 지혜로 전환한다면 반드시 대성하는 사람입니다.,"You are naturally warm and kind-hearted, with immense courage and strong willpower. Although you might not show it outwardly, you possess a deep sense of ambition and a strong desire for recognition. Your strong sense of honor and self-respect would make you a great leader of the masses, and by transforming your impatience into wisdom, you are bound for significant success."
임자,매사에 의욕적이고 진취적인 기품을 타고난 당신은 속이 깊고 과묵한 사람이에요. 통솔력과 포용력이 있지만 한번 화가 나면 절제를 못하는 무서운 사람이기도 합니다. 진취적 기품과 강한 경쟁심이 섞여 영웅 기질을 만들어 냅니다. 끈질긴 인내심으로 그 어떤 어려움도 극복해 가는 강한 사람입니다. 뛰어난 심미안으로 상대방을 꿰뚫어 봅니다. 누구도 당신을 속이지 못합니다. 하지만 자신을 속이려 들지 않는 사람의 마음은 잘 모르는군요. 욱하는 순간만 잘 참으면 만인의 지도자가 되는 사람입니다.,"In everything you do, you are motivated and progressive, though you may appear to be quiet and reserved. You possess leadership qualities and the ability to be inclusive, but your strong competitiveness makes you a person destined for greatness. With your determination and patience, you overcome any difficulty and excel. Your keen aesthetic sense allows you to see through others, leaving no one able to deceive you. Yet, you may have difficulty understanding the hearts of those who do not try to deceive you. If you learn to control your temper, you will become a great leader who commands others."
신해,천성이 선량하고 천재적인 두뇌를 타고난 당신은 깨끗한 외모와 뛰어난 언변을 가진 사람이에요. 승부욕이 대단하군요. 타고난 재능에다가 자신의 투명성과 순결성을 과신하기 때문에 절대로 자신의 주장을 굽히지 않고 상대를 논리로 제압해 버립니다. 싸늘하고 차가운 성격과 까칠하고 예민한 성향을 가져서 그렇기도 합니다. 의심이 많다는 단점을 섬세한 감수성으로 전환하기만 한다면 문학과 예술 분야에서 크게 성공하는 사람입니다.,"Your exceptional intellect and eloquence make you highly perceptive and sharp. Your competitive spirit and natural talent make you highly logical and analytical, and you can suppress your emotions when necessary. You have an immense ability to teach, and if you use your talents in education to benefit society, you will achieve both wealth and recognition."
경술,"매우 섬세한 판단력과 직관력을 타고난 당신은 자기 절제력과 창의성을 동시에 가진 사람이에요. 그 힘들이 모두 강합니다. 장인 정신을 발휘한다면 대단한 업적을 남길 것이고, 남을 돕고 살리는 일에 매진한다면 평생 평화롭게 사는 사람입니다.","With an optimistic and keen sense of observation, you possess great deductive reasoning, fast mental processing, and a deep sense of loyalty. While your innate optimism sometimes poses challenges, maintaining that mindset will lead you to happiness."
기유,총명한 두뇌를 타고난 당신은 탐구심이 매우 강한 사람입니다. 매우 예민하고 까칠한 성격은 남들을 힘들게 하기도 하지만 목표를 향해 집중하는 힘이 되기도 합니다. 가르치고 배우는 일에 있어서는 천부적 재능을 타고 났어요. 특출한 재능을 통해 배운 것들을 교육을 통해 널리 사람을 이롭게 하는 데 쓴다면 부와 명예를 동시에 이룰 수 있는 사람입니다.,"Born with a sincere nature and strong intelligence, you approach everything with responsibility. Although you may come across as too rigid at times, your diligence and hard work will eventually lead you to success."
무신,"낙천적 기질을 타고났지만 예민한 관찰력, 통찰력, 추리력을 겸비한 당신은 뛰어난 논리적 화술의 소유자입니다. 빠른 두뇌 회전 덕분이지요. 또한 의리와 배짱으로 무장한 사람이에요. 다만 타고난 낙천성을 잃으면 타고난 예민함이 일어나 힘들 수도 있으니 늘 낙천적으로 생각하고 사는 게 행복한 사람입니다.","You are an optimist by nature, but with keen observational skills, insight, and reasoning abilities, making you a master of logical rhetoric. Thanks to your quick thinking, you also possess a strong sense of loyalty and courage. However, if you lose your natural optimism, your innate sensitivity might overwhelm you, so it’s important to maintain a positive outlook to stay happy."
정미,타고난 심성이 곱고 성실한 당신은 매사에 책임을 다하는 믿을 수 있는 사람이에요. 안정적이지만 고지식한 면이 있어 고집이 세다는 소리를 듣기도 합니다. 하지만 남들은 모르는 무지막지한 노력을 통해 세상을 따뜻하게 만드는 사람입니다.,"With a kind and sincere heart, you are a reliable person who takes responsibility in all matters. You are stable but can be stubborn at times, earning the reputation of being inflexible. Still, through immense, unseen effort, you bring warmth to the world."
병오,"타고난 호탕함과 기개로 거침없이 인생을 헤쳐 나가는 당신은 낙관적이면서도 비관적이며, 대하기 어려워 보이지만 편하기도 한 반전의 매력을 지닌 사람이에요.","With a bold and unrestrained personality, you charge through life with both optimism and a touch of pessimism. You may appear difficult to approach, yet you have a surprisingly approachable charm."
을사,타고난 재물복에 프로페셔널한 표현력을 겸비한 당신은 다소 진보적인 성향이고 가진 재주가 많습니다. 독립적이고 특수한 분야의 전문가란 당신을 두고 하는 말이군요. 사심없는 사교성과 왕성한 활동을 통해 반드시 사회적 성취를 이루고 널리 세상을 개성있게 물들이는 사람이에요.,"You have a natural talent for wealth and are a professional communicator with a somewhat progressive disposition and a wealth of skills. You're an independent expert in a specialized field. Through sincere social interactions and vigorous activity, you are destined for social success and will leave a unique mark on the world."
갑진,"근본적으로 명랑하고, 매사에 적극적이며 능동적인 당신은 명예욕도 대단하지만 사업 능력이 뛰어난 사람이에요. 주변에 당신을 도와 주는 사람이 많습니다. 하지만 아쉬운 소리를 하느니 목마른 놈이 샘 판다고 스스로 상황을 개척하며 문제를 해결해 나가는군요. 이런 주체적이고 독립적인 기질이 사업과 같은 어려운 일을 강하게 추진하는 능력으로 작용하는 사람이에요.","Fundamentally bright, proactive, and active, you are driven by a great desire for honor and have exceptional business acumen. Many people around you support your endeavors. However, rather than complaining, you prefer to take the initiative and solve problems yourself, a quality that makes you excel in business and other challenging tasks."
계묘,"인복을 타고난 당신은 공동체적인 가치를 중요시하며 더불어 사는 삶을 추구하는 사람이에요. 타인을 도와주고 가르치는 일을 좋아합니다. 인복이 많다는 말은 투쟁심과 독립심이 부족하다는 말도 됩니다. 하지만 온정적이고, 착하고 다정다감하며, 둥글둥글한 성품으로 타인을 편하게 해 주기 때문에 굳이 싸우지 않고도 이기는 사람이에요. 더군다나 총명한 두뇌에서 나오는 신선한 아이디어는 많은 사람들을 행복하게 만드는군요. 절대로 자신을 저평가해서는 안 됩니다. 은근한 토끼고집이 생기기 때문이에요. 자신을 있는 그대로 보여 주기만 해도 모두에게 사랑받으며 행복하게 장수하는 사람입니다.","With a natural gift for relationships, you value communal living and enjoy helping and teaching others. While this brings a great deal of social support, it may also mean you lack the drive for conflict and independence. Yet, your kindness and warmth naturally make you someone who succeeds without ever needing to fight. The clever ideas from your brilliant mind bring happiness to many people. Never underestimate yourself. Simply showing your true self will earn you love and bring lasting happiness."
임인,타고난 머리가 좋고 언변이 유려한 당신은 융통성이 있고 느긋하지만 은근한 박력이 있는 사람이에요. 이런 재능과 기질을 통해 평생 의식주에 구애받지 않고 사는 사람입니다. 타고난 두뇌 덕에 학습 능력이 좋아서 공부를 잘 합니다. 하지만 학문 자체가 목적이 아니라 사회적 활동을 통해 세상에 큰 기여를 하고자 하는 사람이에요. 만인의 사랑을 받으며 부와 명예를 이루는 사람입니다.,"With a sharp mind and eloquent speech, you are adaptable and calm, yet you possess an underlying strength. Thanks to your natural intelligence, you excel in learning and do well academically. However, education is just a means for you to contribute meaningfully to the world, not the end goal. Your talents and efforts will lead you to both wealth and fame, earning the love of all."
신축,지혜와 지모가 뛰어나고 손재주가 정밀한 당신은 매사에 요행을 바라지 않는 성실한 사람입니다. 반면에 노력한 만큼 성과가 따르지 않아 좌절하는 경우가 많군요. 자기의 재능과 노력으로 얻은 성과만 인정하기 때문에 그래요. 어떤 사람들은 요행이 따르기도 하니까요. 하지만 횡재에는 반드시 횡액이 따르고 내가 한 만큼도 못얻는 사람들이 부지기수에요. 자신의 재능과 노력을 남들이 알아 주지 않아도 열받지 말고 좀 더 너그럽게 대하면 반드시 성공하는 사람입니다.,"With wisdom, intellect, and precision, you are a diligent person who never seeks shortcuts. However, you may often feel frustrated when your efforts don’t immediately lead to results. You only recognize the outcomes of your own talent and hard work, but others may find success through luck. Remember, success built on luck may be fleeting, while the fruits of your own labor will last. Keep being generous and patient, and you are destined for success."
경자,뛰어난 재주와 총명한 두뇌를 타고난 당신은 특히 기획력과 아이디어 감각이 탁월한 사람이에요. 자기를 지키기 위한 표현력이 언어 능력으로 나타납니다.  한 가지에 꽂히면 끝장을 보는군요. 자신의 고결하고 순정한 마음을 유지하기 위해 그러는 겁니다. 고독을 느끼는 경우가 많습니다. 하지만 타고난 재능을 남들을 칭찬하는 데 쓴다면 사회에 큰 기여를 할 수 있는 사람입니다.,"You have exceptional talent and a brilliant mind, particularly in planning and ideation. Once you commit to something, you see it through to the end. However, this strong will can lead to periods of loneliness. Yet, if you use your talents to uplift others, you can make a significant contribution to society."
기해,은근과 끈기를 타고난 당신은 현실에 충실하지만 의외로 방랑기가 있는 사람이에요. 스스로를 전복시키는 폭발적 잠재력을 내면에 가지고 있습니다. 기본적으로 총명하고 똑똑합니다. 유머와 위트가 넘치구요. 자신의 진짜 모습을 남에게 내보이기 싫어합니다. 하지만 자신의 야망을 솔직하게 드러내며 잠재력을 폭발시킨다면 크게 성공하는 사람이에요. 솔직하다는 것은 남들은 물론 자신을 인정한다는 것입니다.,"You were born with subtlety and perseverance, committed to practicality, but you also harbor a rebellious spirit. Your natural intelligence, wit, and humor give you a unique charisma. While you may not show your true self to others, when you embrace your ambitions honestly, your latent potential will lead you to great success. Being honest with yourself means you acknowledge your worth and the value of others."
무술,명예를 그 무엇보다도 중요하게 여기는 당신은 자존심을 잃으면 다 잃었다고 생각할 만큼 강한 자존심을 가진 사람이에요. 내면에 자신도 주체하지 못할 정도의 강력한 에너지들이 충돌하고 있기 때문에 그렇습니다. 따라서 생각이 일상적이지 않고 독특합니다. 아프고 상처입은 사람들을 살리는 일을 해야 자신이 사는 사람입니다. 가장 명예로운 일을 해야 자존심을 잃지 않고 살 수 있으니까요.,"Honor is of utmost importance to you, and your strong sense of pride makes you believe that losing your dignity means losing everything. Your inner strength is immense, and this drives you to think in unique, non-conventional ways. You are a person who finds fulfillment in saving others and in performing the most honorable deeds. This is the only way to maintain your dignity and live fully."
정유,"타고난 심성이 곱고 순수하고, 자상한 당신은 참 귀한 사람이에요. 평생 재물운과 인복이 따릅니다. 맑고 순진한 성격과 천진난만한 기운으로 많은 사람들에게 사랑과 관심을 받습니다. 자신의 타고난 맑은 기운을 베풀면 크게 성공하는 사람입니다. 항상 먼저 베풀어야 합니다.","You possess a pure, kind, and gentle nature that makes you a rare and valuable person. You will enjoy a lifetime of wealth and relationships. Your clear, innocent energy attracts love and attention from those around you. By sharing your natural brightness, you will find great success. Always be the one to give first."
병신,"호탕하면서도 자숙할 줄 알고, 소탈하면서도 사리분별이 분명한 당신은 융통성 있는 탁월한 능력으로 사회에서 성공하는 사람이에요. 재주와 호기심이 많고 활동적인 사람입니다.","With a combination of open-heartedness and discipline, you possess excellent adaptability and sound judgment. You know when to relax and when to act decisively. Your natural curiosity and activity ensure success, while your social flexibility makes you a standout."
을미,타고난 성품이 부드럽고 온화한 당신은 갈대밭의 갈대 같아 보이지만 폭풍에는 절대로 쓰러지지 않는 유연한 힘을 가진 사람이에요. 재물에 대한 감각이 남다르니 경제적으로 크게 성공하는군요. 강자의 부당한 압력에는 절대로 굴복하지 않지만 약자와는 언제라도 연대합니다. 재물의 합리적 사용을 통해 널리 사람들을 연대하게 만드는 사람입니다.,"Though you appear gentle and soft, your flexible strength ensures that you never fall under pressure. You have a unique sense for wealth, and this ensures your success. While you never bow to the unjust pressures of the powerful, you always stand in solidarity with the weak, using your wealth wisely to unite others."
갑오,근본이 명랑하고 자기 표현이 능숙한 당신은 화려함을 좋아하지만 알 수 없는 쓸쓸함이 느껴지는 매력적인 사람이에요. 센스 있는 의상 감각과 능수능란한 언변으로 많은 사람들의 주목과 사랑을 받습니다. 대중을 위해 태어난 사람이라고 할 수 있겠네요. 비상한 촉과 뛰어난 머리로 특히 예술적인 분야에서 프로페셔널의 경지에 오릅니다. 남들이 모두 부러워하는 멋진 인생을 사는 사람이에요.,"With an inherently bright and expressive personality, you enjoy the limelight yet also feel an inexplicable loneliness. Your refined fashion sense and eloquent communication draw admiration from many. You were born to be a public figure and will reach professional heights in the arts, leading a life that others envy."
계사,"항상 자신의 원칙에 의해 움직이는 당신은 말수가 적지만 강한 추진력을 가진 사람이에요. 부드러운 듯하면서도 가시가 있고, 친절한 듯하면서도 권위가 있어 보이는 사람입니다. 내면의 엄격한 원칙에서 흘러 나오는 힘이지요. 타고난 계획성과 추진력으로 일을 잘하니 언제나 일이 많군요. 당연히 욕망도 큽니다. 하지만 자신의 욕망을 드러내지 않습니다. 추해 보일까봐 그래요. 실속과 평판을 모두 가지려는 기질 때문이죠. 이 두 가지 모순된 욕망 때문에 결정 장애를 겪기도 합니다. 하지만 이상을 추구하는 고귀한 마음을 타협하지 않고 유지한다면 반드시 고위 관직에 올라 세상을 이롭게 하는 사람입니다.","You are guided by your principles and are known for your strength of purpose. Though reserved, you show remarkable drive. You balance gentleness with authority, and your inner rigor generates tremendous strength. Your natural planning and perseverance ensure you are always in demand. However, your desire for both practicality and reputation sometimes causes internal conflict, making decision-making challenging. Still, by maintaining your noble ideals, you will rise to a high position and benefit society."
임진,뛰어나게 좋은 머리를 타고난 당신은 솔직담백하고 자신감이 넘치며 언변이 좋은 사람이에요. 자유분방하고 호탕합니다. 머리가 좋은 데다가 통이 크고 터프한 리더십을 가졌으니 만인을 위한 포용력이 따라 옵니다. 시원시원한 일처리는 당신의 가장 큰 매력이지요. 다만 '당신 속을 알 수 없다'는 말을 종종 듣는군요. 워낙에 생각이 깊고 남들보다 앞선 생각을 하기 때문에 그래요. 당신의 큰 스케일을 채워 줄 실속 있는 친구를 가까이 한다면 사회적으로 크게 성공하는 사람입니다.,"With outstanding intellect and confidence, you are a free spirit with an innate leadership style. Your deep thoughts and ability to act decisively allow you to succeed on a grand scale. If you surround yourself with the right people, your social success will be enormous."
신묘,"재능과 성실성을 동시에 타고난 당신은 꼼꼼하고 알뜰한 성격으로 소박한 행복을 추구하는 사람이에요. 타고난 재능을 발휘하며 성실하게 한발 한발, 차곡차곡 성과를 내며 전진합니다. 결국 부와 명예, 둘 다 얻게 되는 사람입니다. 다만 요행을 바라진 않지만, 공짜를 좋아하는 기질이 조금 있어서 실수할 때가 있어요. 자신의 성실성을 믿고 꾸준히 정진하다 보면 반드시 성공하는 사람입니다.","You are both talented and diligent, with a meticulous nature that seeks simple happiness. You move forward steadily, achieving results one step at a time. Eventually, you will gain both wealth and honor. While you avoid relying on luck, your tendency to enjoy freebies may occasionally lead to mistakes. Stick to your principles, and your diligent efforts will surely lead you to success."
경인,개척 정신과 투쟁 정신을 타고난 당신은 매우 적극적이며 활동적인 사람이에요. 반면에 지혜가 밝고 학문에도 뛰어납니다. 통크게 배풀고 통크게 돈을 벌며 성공하는 사람입니다. 드라마틱한 인생을 살며 자기가 속한 조직에 큰 공헌과 이익을 안겨 줍니다. 한 곳에 머물지 말고 더 넓은 세계로 나아 가세요.,"With a pioneering and combative spirit, you are highly active and enthusiastic. Your bright intellect and academic prowess further complement your drive to succeed. You will achieve success by contributing greatly to your organization, whether in dramatic circumstances or through everyday efforts. Expand your horizons beyond your current boundaries."
기축,"꼼꼼하고 성실하며, 유순하고 유연한 기질을 타고난 당신은 무리하지 않고, 서두르지 않아 매우 안정적으로 보이는 사람이에요. 하지만 속으로는 황소고집을 가지고 있습니다. 근면으로 돈을 벌고, 성실로 재물을 모아 결국 든든하게 잘사는 사람입니다. 평생에 걸쳐 이룰 수 있는 한 가지 일에 몰두한다면 역사에 큰 업적을 남길 수 있는 사람입니다.","You have an orderly, disciplined, and flexible nature, which gives you stability. While outwardly calm, your stubbornness lies beneath the surface. Through hard work and discipline, you will find lasting wealth. If you focus on one thing throughout your life, you will leave behind a lasting legacy."
무자,말과 행동이 신중한 당신은 매사에 합리적 선택을 중요하게 생각하는 사람이에요. 들인 만큼 나오기를 기대하는 태도라고 볼 수 있지요. 그래서 가끔 인색하다는 오해를 받기도 합니다. 하지만 타고난 재물복을 어려운 사람들을 돕는데 쓰기 시작하면 인색함이 인자함으로 바뀌면서 멋있는 부자가 되는 사람입니다.,"You are a person of caution and rationality, always seeking the most logical choice. You expect to receive results in proportion to your efforts, and occasionally may be mistaken for being stingy. However, if you begin to use your fortune to help those in need, your generosity will transform you into a successful person."
정해,타고난 성품이 온순하고 착실한 당신은 좋은 두뇌와 생산적인 사고를 가진 사람입니다. 주어진 일을 정해진 대로 완벽하게 처리합니다. 당신은 사랑받기 위해 태어난 사람이에요. 대인 관계를 얕지만 좀 더 넓게 한다면 더 크게 성공할 수 있는 사람입니다.,"You are gentle and dependable, with great intelligence and productive thinking. You approach each task with care, aiming for perfection. You were born to be loved by others. By broadening your circle, you will achieve even greater success."
병술,"화려하면서도 쓸쓸하고, 명랑하면서도 고독한 기질을 타고난 당신은 어떤 경우에도 희망을 잃지 않고 살아 가는 사람이에요. 단정한 의지와 깊은 속정이 부딪쳐 모순되는 매력을 발산합니다. 그 모순을 글로 표현할 수만 있다면 크게 성공하는 사람입니다.","With a delicate balance of optimism and profound self-awareness, you never lose hope, even in challenging circumstances. The contradictions within you make you highly attractive, and if you could express these contradictions through writing, you would achieve great success."
을유,"창조적인 생존 능력에 있어서는 지존이라고 불릴 만한 당신은 타고난 결단력과 돌파력을 지녔지만, 살아 있는 눈빛 속에 치명적 매력이 숨겨져 있는 사람이에요. 강자에게는 무자비하지만 약자에게는 한없이 약한 인자한 사람입니다. 약자를 부양하고 강자를 억누르기 위해 태어난 사람이라고 할 수 있습니다. 따라서 책임감에 있어서는 언제나 지존입니다. 하지만 속마음은 매우 여리고 부드러운 사람이지요. 왕성한 사회적 활동을 통해 공적 가치를 추구하니, 반드시 지도자가 되어 널리 사람을 이롭게 하는 사람이에요.","In terms of creative survival skills, you are exceptional, with natural decisiveness and breakthrough abilities. Your fierce loyalty to the weak and unyielding stance against the strong make you a person destined for responsibility. You are deeply compassionate, yet also capable of harshness when necessary. You will pursue public values through your active social efforts, becoming a leader who helps others."
갑신,"타고난 그릇이 크고 고상한 이상을 품고 사는 당신은 강자에게는 무자비하지만 약자에게는 한없이 인자한 사람이에요. 약자를 부양하고 강자를 억압하기 위해 태어난 사람이라고 할 수 있습니다. 따라서 책임감에 있어서는 누구도 따라 올 수 없는 지존입니다. 왕성한 사회적 활동을 통해 공적 가치를 추구하니, 반드시 지도자가 되어 널리 사람을 의롭게 하는 사람이에요.","You possess an expansive nature and high ideals, making you resilient to adversity. Your purity and strong sense of self give you immense inner strength, and you naturally pursue high moral values. These qualities make you suited for public service and leadership, especially when combined with your compassion for the weak and willingness to help others."
